Instance,IR,NG,PS,PC,PM,NMP,Time,Accuracy
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.5,0.1,0.4,1.5045621,98.75312743529798
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.5,0.1,0.4,3.4736045,98.39153868248096
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.5,0.1,0.4,21.7225016,96.94652535644008
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.5,0.1,0.6,0.6317348,99.2658217464419
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.5,0.1,0.6,2.7264499,98.16006893405647
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.5,0.1,0.6,20.631866,96.71177546863673
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.5,0.1,0.7,0.6056192,99.58164144210656
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.5,0.1,0.7,2.5705379,98.67538479733724
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.5,0.1,0.7,19.1389274,97.00607587944903
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.5,0.15,0.4,0.872257,99.2248062015504
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.5,0.15,0.4,3.0637023,98.25637386588271
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.5,0.15,0.4,18.5535941,96.5175889805641
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.5,0.15,0.6,0.7924681,99.60625076904147
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.5,0.15,0.6,2.9275353,98.27326946795749
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.5,0.15,0.6,18.7272186,96.88179652708254
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.5,0.15,0.7,0.8841919,99.30683729133342
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.5,0.15,0.7,2.7143271,98.17696453613125
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.5,0.15,0.7,18.5984553,96.56591983981772
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.5,0.3,0.4,0.948589,99.241212419507
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.5,0.3,0.4,2.9480989,98.29016507003227
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.5,0.3,0.4,18.8044273,96.63064866917527
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.5,0.3,0.6,0.8134088,99.45449325294287
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.5,0.3,0.6,2.8917246,98.31381891293697
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.5,0.3,0.6,18.272014,96.46235371284565
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.5,0.3,0.7,0.7192828,99.56523522414994
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.5,0.3,0.7,2.7385166,98.35943703853887
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.5,0.3,0.7,18.5345471,96.91718162046466
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.65,0.1,0.4,0.7589609,99.2248062015504
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.65,0.1,0.4,2.6979444,98.98964299592816
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.65,0.1,0.4,18.7436668,97.39185970241999
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,200,500,0.65,0.1,0.6,0.7083435,99.68418030433534
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,200,500,0.65,0.1,0.6,2.7535602,98.33240407521922
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,200,500,0.65,0.1,0.6,18.3301497,97.03800876859874
