Instance,IR,NG,PS,PC,PM,NMP,Time,Accuracy
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,1.0,50,500,1.0,0.1,0.7,0.6904754,99.45859480743202
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,1.0,50,500,1.0,0.1,0.7,0.7208079,99.58164144210656
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,1.0,50,500,1.0,0.1,0.7,0.6835671,99.45859480743202
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,1.0,50,500,1.0,0.1,0.7,0.6244868,98.68750256347155
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,1.0,50,500,1.0,0.1,0.7,0.6750846,99.68418030433534
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,1.0,50,500,1.0,0.1,0.7,0.6289308,99.45859480743202
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,1.0,50,500,1.0,0.1,0.7,0.6994129,99.58164144210656
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,1.0,50,500,1.0,0.1,0.7,0.7031338,99.45859480743202
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,1.0,50,500,1.0,0.1,0.7,0.7332951,99.30683729133342
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,1.0,50,500,1.0,0.1,0.7,0.7343352,99.45449325294287
