Instance,IR,NG,PS,PC,PM,NMP,Time,Accuracy
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,50,50,0.2,0.2,3,0.1723789,98.16250358886018
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.50_1.dat,0.4,50,50,0.2,0.2,3,0.1506144,99.60708188132938
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.75_1.dat,0.4,50,50,0.2,0.2,3,0.1348322,99.49015412390091
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,50,50,0.2,0.2,3,0.5045676,97.7579536046767
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.50_1.dat,0.4,50,50,0.2,0.2,3,0.6025866,98.26362266942081
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.75_1.dat,0.4,50,50,0.2,0.2,3,0.4870242,99.38665261216154
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,50,50,0.2,0.2,3,4.1390402,96.21034280388028
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.50_1.dat,0.4,50,50,0.2,0.2,3,5.3269273,98.36051285579944
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.75_1.dat,0.4,50,50,0.2,0.2,3,3.9117498,99.3110696323605
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,50,50,0.2,0.2,15,0.0723292,98.13379270743611
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.50_1.dat,0.4,50,50,0.2,0.2,15,0.0923627,99.64918025118695
